id,product_name,url,present_price,old_price,discount,manufacturer,raw_html_path,laptop_type,cpu,cpu_generation,disk_type,disk_size,ram_gb,max_ram_slot,screen_size,screen_resolution,screen_ratio,screen_refresh_rate,gpu_type,gpu_model,weight_kg,ports,special_features,release_year
63,Laptop Asus Gaming ROG Zephyrus M16 GU604VI i9 13900H/32GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (NM779W),https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-m16-gu604vi-i9-nm779w,71990000,80990000,0.11,asus,data/raw_htmls/tgdd/asus_39.html,normal,"i9, 13900H, 2.6GHz",13,SSD M.2 PCIe Gen 4,1000,32,1,16.0,2560 x 1600,8:5,240,dedicated,nvidia RTX 4070 8GB,2.1,"Thunderbolt 4, USB Type-C 3.2, HDMI, USB 3.2, Jack tai nghe 3.5 mm",đèn bàn phím,2023
64,Laptop Asus VivoBook X515MA N4020/4GB/256GB/Win11 (BR480W),https://www.thegioididong.com/laptop/asus-vivobook-x515ma-n4020-br480w,6490000,7890000,0.18,asus,data/raw_htmls/tgdd/asus_4.html,normal,Celeron N4020 1.1GHz,10,SSD NVMe PCIe,256,4,1,15.6,1366 x 768,16:9,60,integrated,Intel UHD 600,1.8,"HDMI, 2 x USB 2.0, USB Type-C, 1 x USB 3.2, Jack tai nghe 3.5 mm",Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),2021
65,Laptop Asus Gaming ROG Strix G18 G814JI i9 13980HX/32GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (N6063W),https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g18-g814ji-i9-n6063w,63990000,70990000,0.1,asus,data/raw_htmls/tgdd/asus_40.html,normal,"i9, 13980HX, 2.2GHz",13,SSD M.2 PCIe Gen 4,1000,32,2,18.0,2560 x 1600,8:5,240,dedicated,"nvidia, RTX 4070 8GB",3.0,"Thunderbolt 4, USB 3.2 Gen 2 Type-C, HDMI, LAN (RJ45), USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
68,Laptop Asus ExpertBook B9 OLED B9403CVA i7 1355U/16GB/1TB/Cáp/Túi/Win11 Pro (KM0157X),https://www.thegioididong.com/laptop/asus-expertbook-b9-oled-b9403cva-i7-km0157x,44990000,49990000,0.1,asus,data/raw_htmls/tgdd/asus_43.html,normal,"i7, 1355U, 1.7GHz",13,SSD,1000,16,1,14.0,2880 x 1800,16:10,90,integrated,Intel Iris Xe,0.99,"2 x Thunderbolt 4, HDMI, 1 x USB 3.2, Jack tai nghe 3.5 mm, Micro HDMI (RJ45)",Có đèn bàn phím,2023
69,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),https://www.thegioididong.com/laptop/asus-zenbook-s-13-oled-ux5304va-i7-nq126w,40990000,44990000,0.09,asus,data/raw_htmls/tgdd/asus_44.html,normal,"i7, 1355U, 1.7GHz",13,SSD NVMe PCIe Gen 4,1000,32,1,13.3,2880 x 1800,16:10,60,integrated,Intel Iris Xe,1.0,"2 x Thunderbolt 4, HDMI, 1 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
71,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),https://www.thegioididong.com/laptop/asus-zenbook-s-13-oled-ux5304va-i7-nq125w,34990000,39990000,0.13,asus,data/raw_htmls/tgdd/asus_47.html,normal,"i7, 1355U, 1.7GHz",11,SSD NVMe PCIe,512,16,1,13.3,2880 x 1800,8:5,60,integrated,Intel Iris Xe,1.0,"2 x Thunderbolt 4, HDMI, 1 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
72,Laptop Asus Gaming ROG Zephyrus G14 GA402NJ R7 7735HS/16GB/512GB/6GB RTX3050/144Hz/Túi/Win11 (L4056W),https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-g14-ga402nj-r7-l4056w,38990000,42990000,0.09,asus,data/raw_htmls/tgdd/asus_46.html,normal,"Ryzen 7, 7735HS, 3.2GHz",7,SSD,512,16,1,14.0,1920 x 1200,16:10,144,dedicated,Nvidia RTX 3050,1.72,"1 x USB Type-C 3.2, 1 x USB Type-C, HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
74,Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/16GB/1TB/4GB RTX3050/144Hz/Win11 (HN229W),https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i5-hn229w,22490000,25990000,0.13,asus,data/raw_htmls/tgdd/asus_5.html,normal,i5 12500H,12,SSD,1024,16,2,15.6,1920 x 1080,16:9,144,dedicated,NVIDIA RTX 3050,2.2,"Thunderbolt 4, USB Type-C 3.2, HDMI, LAN (RJ45), 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
76,Laptop Asus Zenbook 14 OLED UX3402VA i7 1360P/16GB/512GB/Cáp/Túi/Win11 (KM068W),https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i7-km068w,28990000,31990000,0.09,asus,data/raw_htmls/tgdd/asus_51.html,normal,i7,11,SSD,512,16,1,14.0,2880 x 1800,16:10,90,integrated,Intel Iris Xe,1.39,"2 x Thunderbolt 4, HDMI, 1 x USB 3.2, 3.5 mm headphone jack",backlit keyboard,2023
79,Laptop Asus Vivobook 14X OLED S3405VA i9 13900H/16GB/512GB/Win11 (KM071W),https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-s3405va-i9-km071w,23990000,26990000,0.11,asus,data/raw_htmls/tgdd/asus_54.html,normal,"i9, 13900H, 2.6GHz",13,SSD,512,16,1,14.0,2880 x 1800,16:10,90,integrated,Intel Iris Xe,1.4,"HDMI, USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
80,Laptop Asus Zenbook 14 Flip OLED UP3404VA i5 1340P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN038W),https://www.thegioididong.com/laptop/asus-zenbook-14-flip-oled-up3404va-i5-kn038w,27490000,29990000,0.08,asus,data/raw_htmls/tgdd/asus_53.html,normal,"i5, 1340P, 1.9GHz",13,SSD,512,16,1,14.0,2880 x 1800,16:10,90,integrated,Intel Iris Xe,1.5,"2 x Thunderbolt 4 hỗ trợ display / power delivery, HDMI, 1 x USB 3.2, Jack tai nghe 3.5 mm","Có màn hình cảm ứng, Có đèn bàn phím",2023
81,Laptop Asus Vivobook 14 A1405VA i3 1315U/8GB/512GB/Win11 (LY097W),https://www.thegioididong.com/laptop/asus-vivobook-14-a1405va-i3-ly097w,12490000,14990000,0.17,asus,data/raw_htmls/tgdd/asus_55.html,normal,"i3, 1315U, 1.2GHz",13,SSD NVMe PCIe,512,8,1,14.0,1920 x 1200,16:10,60,integrated,Intel UHD,1.6,"1 x USB Type-C 3.2 (hỗ trợ Power Delivery), HDMI, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2023
82,Laptop Asus Vivobook 16 X1605VA i5 1335U/16GB/512GB/Win11 (MB360W),https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w,16490000,18990000,0.13,asus,data/raw_htmls/tgdd/asus_6.html,normal,"i5, 1335U, 1.3GHz",13,SSD,512,16,1,16.0,1920 x 1200,16:10,60,integrated,Intel Iris Xe,1.88,"USB Type-C, HDMI, USB 2.0, USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2023
83,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Chuột/Win11 (L1341W),https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1341w,18990000,20990000,0.1,asus,data/raw_htmls/tgdd/asus_8.html,normal,"i5, 13500H, 2.6GHz",13,SSD,512,16,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.7,"USB Type-C, HDMI, USB 2.0, USB 3.2, Jack tai nghe 3.5 mm",OLED,2023
85,Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-nj025w,15990000,17990000,0.11,asus,data/raw_htmls/tgdd/asus_9.html,normal,"i5, 1335U, 1.3GHz",13,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"HDMI, USB Type-C, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","tháo ra, lắp thanh khác",2023
86,Laptop Dell Inspiron 15 3520 i3 1215U/8GB/256GB/OfficeHS/Win11 (i3U082W11BLU),https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i3-i3u082w11blu,10990000,13690000,0.2,dell,data/raw_htmls/tgdd/dell_0.html,normal,"i3, 1215U, 1.2GHz",12,SSD,256,8,1,15.6,1920 x 1080,16:9,120,integrated,Intel UHD,1.9,"HDMI, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","Windows 11 Home SL, Office Home & Student vĩnh viễn",2022
87,Laptop Dell Vostro 15 3520 i3 1215U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT1),https://www.thegioididong.com/laptop/dell-vostro-15-3520-i3-5m2tt1,12290000,14790000,0.17,dell,data/raw_htmls/tgdd/dell_1.html,normal,"i3, 1215U, 1.2GHz",12,SSD,512,8,1,15.6,1920 x 1080,16:9,120,integrated,Intel UHD,1.67,"HDMI, LAN (RJ45), 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2022
88,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-5m2tt2,16190000,19490000,0.17,dell,data/raw_htmls/tgdd/dell_12.html,normal,"i5, 1235U, 1.3GHz",12,SSD,512,8,1,15.6,1920 x 1080,16:9,120,integrated,Intel UHD,1.67,"HDMI, LAN (RJ45), 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2022
89,Laptop Dell Inspiron 16 5620 i5 1235U/8GB/256GB/OfficeHS/Win11 (P1WKN),https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i5-p1wkn,17190000,19790000,0.13,dell,data/raw_htmls/tgdd/dell_14.html,normal,"i5, 1235U, 1.3GHz",12,SSD,256,8,1,16.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.87,"1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort), HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ kim loại,2022
90,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/2GB MX550/120Hz/OfficeHS/Win11 (70296960),https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-70296960,17990000,19790000,0.09,dell,data/raw_htmls/tgdd/dell_13.html,normal,"i5, 1235U, 1.3GHz",12,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,120,dedicated,nvidia MX550 2GB,1.9,"1 x USB Type-C (hỗ trợ DisplayPort), HDMI, 1 x USB 2.0, 1 x USB 3.2, Jack tai nghe 3.5 mm","Hệ điều hành Windows 11 Home SL, Office Home & Student vĩnh viễn, Hỗ trợ khe cắm SATA 2.5 inch mở rộng (nâng cấp SSD hoặc HDD đều được)",2022
91,Laptop Dell Inspiron 16 5620 i7 1255U/8GB/512GB/OfficeHS/Win11 (N6I7110W1),https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i7-n6i7110w1,22190000,25190000,0.12,dell,data/raw_htmls/tgdd/dell_15.html,normal,"i7, 1255U, 1.7GHz",12,SSD NVMe PCIe,512,8,1,16.0,1920 x 1200,16:10,60,integrated,Intel UHD,1.87,"USB Type-C, HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2022
92,Laptop Dell Vostro 14 3420 i5 1235U/8GB/512GB/OfficeHS/Win11 (71003348),https://www.thegioididong.com/laptop/dell-vostro-3420-i5-71003348,16490000,17590000,0.06,dell,data/raw_htmls/tgdd/dell_17.html,normal,"i5, 1235U, 1.3GHz",12,SSD NVMe PCIe,512,8,2,14.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.49,"HDMI, LAN (RJ45), 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2022
93,Laptop Dell Inspiron 14 T7430 i5 1335U/8GB/512GB/Touch/Pen/OfficeHS/Win11 (N7430I58W1),https://www.thegioididong.com/laptop/dell-inspiron-14-7430-i5-n7430i58w1,23990000,24190000,0.01,dell,data/raw_htmls/tgdd/dell_18.html,normal,"i5, 1335U, 1.3GHz",13,SSD NVMe PCIe,512,8,1,14.0,1920 x 1200,16:10,60,integrated,Intel Iris Xe,1.58,"2 x Thunderbolt 4 (hỗ trợ Power Delivery), HDMI, 1 x USB 3.2, Jack tai nghe 3.5 mm","Có màn hình cảm ứng, Có đèn bàn phím",2023
94,Laptop Dell Vostro 15 3520 i3 1215U/8GB/256GB/OfficeHS/Win11 (V5I3614W1),https://www.thegioididong.com/laptop/dell-vostro-3520-i3-v5i3614w1,11290000,13990000,0.19,dell,data/raw_htmls/tgdd/dell_2.html,normal,"i3, 1215U, 1.2GHz",12,SSD,256,8,2,15.6,1920 x 1080,16:9,120,integrated,Intel UHD,1.83,"HDMI, LAN (RJ45), 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2022
95,Laptop Dell Inspiron 15 3520 i3 1215U/8GB/512GB/120Hz/OfficeHS/Win11 (71003264),https://www.thegioididong.com/laptop/dell-inspiron-3520-i3-71003264,12190000,14490000,0.16,dell,data/raw_htmls/tgdd/dell_3.html,normal,"i3, 1215U, 1.2GHz",12,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,120,integrated,Intel UHD,1.9,"HDMI, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","Windows 11 Home SL, Office Home & Student vĩnh viễn",2022
96,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU),https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5u085w11blu,16490000,18990000,0.13,dell,data/raw_htmls/tgdd/dell_4.html,normal,"i5, 1235U, 1.3GHz",12,SSD,512,8,2,15.6,1920 x 1080,16:9,120,integrated,Intel UHD,1.9,"HDMI, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","Windows 11 Home SL, Office Home & Student vĩnh viễn",2022
97,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/256GB/120Hz/OfficeHS/Win11 (N5I5122W1),https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5122w1,15990000,18590000,0.14,dell,data/raw_htmls/tgdd/dell_6.html,normal,"i5, 1235U, 1.3GHz",11,SSD NVMe PCIe,256,8,2,15.6,1920 x 1080,16:9,120,integrated,Intel UHD,1.9,"HDMI, 1 x USB 2.0, 2 x USB 3.2, Jack tai nghe 3.5 mm","Windows 11 Home SL, Office Home & Student vĩnh viễn",2022
98,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/2GB MX550/OfficeHS/Win11 (N3530I716W1),https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n3530i716w1,24990000,25290000,0.01,dell,data/raw_htmls/tgdd/dell_5.html,normal,"i7, 1355U, 1.7GHz",13,SSD NVMe PCIe,512,16,2,15.6,1920 x 1080,16:9,120,dedicated,nvidia MX550 2GB,1.65,"HDMI, 1 x USB 2.0, 1 x USB 3.2, Jack tai nghe 3.5 mm, 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4)",Có đèn bàn phím,2023
99,Laptop HP 15s fq5229TU i3 1215U/8GB/512GB/Win11 (8U237PA),https://www.thegioididong.com/laptop/hp-15s-fq5229tu-i3-8u237pa,10990000,13690000,0.2,hp,data/raw_htmls/tgdd/hp_0.html,normal,"i3, 1215U, 1.2GHz",12,SSD NVMe PCIe,512,8,2,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.69,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 2 x USB Type-A",Windows 11 Home SL,2023
100,Laptop HP 15s fq5162TU i5 1235U/8GB/512GB/Win11 (7C134PA),https://www.thegioididong.com/laptop/hp-15s-fq5162tu-i5-7c134pa,15590000,18890000,0.17,hp,data/raw_htmls/tgdd/hp_1.html,normal,"i5, 1235U, 1.3GHz",12,SSD,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.7,"HDMI, USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2022
101,Laptop HP Pavilion X360 14 ek1049TU i5 1335U/16GB/512GB/Touch/Pen/Win11 (80R27PA),https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1049tu-i5-80r27pa,21990000,24290000,0.09,hp,data/raw_htmls/tgdd/hp_10.html,normal,"i5, 1335U, 1.3GHz",13,SSD NVMe PCIe,512,16,1,14.0,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.53,"1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort), HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm","Có màn hình cảm ứng, Có đèn bàn phím",2023
102,Laptop HP 15s fq2716TU i3 1115G4/8GB/512GB/Win11 (7C0X3PA),https://www.thegioididong.com/laptop/hp-15s-fq2716tu-i3-7c0x3pa,10290000,13690000,0.25,hp,data/raw_htmls/tgdd/hp_11.html,normal,"i3, 1115G4, 3GHz",11,SSD,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.7,"HDMI, 2x SuperSpeed USB A, Jack tai nghe 3.5 mm, 1x SuperSpeed USB Type-C",Vỏ nhựa,2022
103,Laptop HP Pavilion 14 dv2074TU i5 1235U/8GB/512GB/Win11 (7C0P3PA),https://www.thegioididong.com/laptop/hp-pavilion-14-dv2074tu-i5-7c0p3pa,16390000,19690000,0.17,hp,data/raw_htmls/tgdd/hp_12.html,normal,"i5, 1235U, 1.3GHz",12,SSD,512,8,1,14.0,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.41,"1 x SuperSpeed USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4), HDMI, 2x SuperSpeed USB A, Jack tai nghe 3.5 mm",Vỏ nhựa - nắp lưng bằng kim loại,2022
104,Laptop HP 240 G8 i3 1115G4/8GB/256GB/Win11 (6L1A1PA),https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a1pa,9290000,12990000,0.28,hp,data/raw_htmls/tgdd/hp_14.html,normal,i3 1115G4 3GHz,11,SSD,256,8,1,14.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.47,"HDMI, LAN (RJ45), USB Type-C, 2 x USB 3.1, Jack tai nghe 3.5 mm","tháo ra, lắp thanh khác tối đa 1 TB",2022
106,Laptop HP Envy X360 13 bf0090TU i7 1250U/16GB/512GB/Touch/Pen/Win11 (76B13PA),https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0090tu-i7-76b13pa,27090000,32990000,0.18,hp,data/raw_htmls/tgdd/hp_15.html,normal,"i7, 1250U, 1.1GHz",12,SSD,512,16,1,13.3,2880 x 1800,16:10,60,integrated,Intel Iris Xe,1.34,"2 x USB 3.2, 2 x Thunderbolt 4 with USB-C (Power Delivery and DisplayPort), Jack tai nghe 3.5 mm","Có màn hình cảm ứng, Có đèn bàn phím",2022
107,Laptop HP Pavilion 15 eg2086TU i3 1215U/8GB/256GB/Win11 (7C0Q8PA),https://www.thegioididong.com/laptop/hp-pavilion-15-eg2086tu-i3-7c0q8pa,12590000,15290000,0.18,hp,data/raw_htmls/tgdd/hp_18.html,normal,"i3, 1215U, 1.2GHz",12,SSD,256,8,2,15.6,1920 x 1080,16:9,60,integrated,Intel UHD,1.74,"HDMI, USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa - chiếu nghỉ tay bằng kim loại,2022
109,Laptop HP Envy X360 13 bf0112TU i5 1230U/16GB/512GB/Touch/Pen/Win11 (7C0N9PA),https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0112tu-i5-7c0n9pa,23990000,29590000,0.19,hp,data/raw_htmls/tgdd/hp_19.html,normal,"i5, 1230U, 1.00 GHz",12,SSD,512,16,1,13.3,2880 x 1800,8:5,60,integrated,Intel Iris Xe,1.34,"2 x Thunderbolt 4 with USB-C (USB Power Delivery, DisplayPort 1.4), 2x SuperSpeed USB A, Jack tai nghe 3.5 mm","Có màn hình cảm ứng, Có đèn bàn phím",2022
110,Laptop HP 240 G10 i5 1335U/16GB/512GB/Win11 (8F136PA),https://www.thegioididong.com/laptop/hp-240-g10-i5-8f136pa,17690000,19590000,0.1,hp,data/raw_htmls/tgdd/hp_21.html,normal,"i5, 1335U, 1.3GHz",13,SSD NVMe PCIe,512,16,2,14.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.39,"HDMI, USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2023
111,Laptop HP 240 G10 i5 1335U/8GB/512GB/Win11 (8F134PA),https://www.thegioididong.com/laptop/hp-240-g10-i5-8f134pa,16890000,18790000,0.1,hp,data/raw_htmls/tgdd/hp_22.html,normal,"i5, 1335U, 1.3GHz",13,SSD NVMe PCIe,512,8,1,14.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.39,"HDMI, USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2023
112,Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),https://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x7pa,9690000,12990000,0.25,hp,data/raw_htmls/tgdd/hp_2.html,normal,"i3, 1215U, 1.2GHz",12,SSD,256,8,2,14.0,1920 x 1080,16:9,60,integrated,Intel UHD,1.41,"HDMI, LAN (RJ45), USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa,2022
113,Laptop HP 245 G9 R5 5625U/8GB/512GB/Win11 (6L1N9PA),https://www.thegioididong.com/laptop/hp-245-g9-r5-6l1n9pa,11590000,13990000,0.17,hp,data/raw_htmls/tgdd/hp_20.html,normal,"Ryzen 5, 5625U, 2.30 GHz",5,SSD NVMe PCIe,512,8,1,14.0,1920 x 1080,16:9,60,integrated,Radeon,1.47,"HDMI, LAN (RJ45), 2x SuperSpeed USB A, Jack tai nghe 3.5 mm, 1x SuperSpeed USB Type-C","Có thể tháo ra, lắp thanh khác tối đa 1 TB, Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)",2022
114,Laptop HP EliteBook 630 G9 i7 1255U/16GB/512GB/Win11 (6M146PA),https://www.thegioididong.com/laptop/hp-elitebook-630-g9-i7-6m146pa,23890000,27790000,0.14,hp,data/raw_htmls/tgdd/hp_23.html,normal,"i7, 1255U, 1.7GHz",12,SSD NVMe PCIe,512,16,1,13.3,1920 x 1080,16:9,60,integrated,Intel UHD,1.28,"Thunderbolt 4, HDMI, LAN (RJ45), 2x SuperSpeed USB A, Jack tai nghe 3.5 mm",Có đèn bàn phím,2022
115,Laptop HP Elitebook 630 G9 i5 1235U/16GB/512GB/Win11 (7K9H3PA),https://www.thegioididong.com/laptop/hp-elitebook-630-g9-i5-7k9h3pa,19990000,23390000,0.15,hp,data/raw_htmls/tgdd/hp_24.html,normal,i5-1235U,11,SSD,512,16,2,13.3,1920 x 1080,16:9,60,integrated,Intel UHD,1.28,"Thunderbolt 4, HDMI, LAN (RJ45), USB 3.2, Jack tai nghe 3.5 mm",đèn bàn phím,2023
116,Laptop HP Elitebook 630 G10 i7 1355U/16GB/512GB/Win11 (873F2PA),https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-873f2pa,25190000,27790000,0.09,hp,data/raw_htmls/tgdd/hp_25.html,normal,"i7, 1355U, 1.7GHz",10,SSD,512,16,2,13.3,1920 x 1080,16:9,60,integrated,Intel UHD,1.22,"Thunderbolt 4, HDMI, LAN (RJ45), 2 x USB 3.2, Jack tai nghe 3.5 mm",Có đèn bàn phím,2023
118,Laptop HP Envy 16 h0205TX i9 12900H/32GB/512GB/6GB RTX3060/Touch/Win11 (7C0T2PA),https://www.thegioididong.com/laptop/hp-envy-16-h0205tx-i9-7c0t2pa,51890000,65390000,0.21,hp,data/raw_htmls/tgdd/hp_27.html,normal,"i9, 12900H, 2.5GHz",12,SSD NVMe PCIe,512,32,1,16.0,3840 x 2400,16:10,60,dedicated,nvidia RTX 3060 6GB,2.32,"2 x Thunderbolt 4 with USB-C (USB Power Delivery, DisplayPort 1.4), HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm","Có màn hình cảm ứng, Có đèn bàn phím",2022
120,Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),https://www.thegioididong.com/laptop/hp-elitebook-dragonfly-g3-i7-6z980pa,41390000,52590000,0.21,hp,data/raw_htmls/tgdd/hp_29.html,normal,"i7, 1255U, 1.7GHz",12,SSD,1000,16,1,13.5,1920 x 1280,3:2,60,integrated,Intel Iris Xe,0.99,"1 x SuperSpeed USB Type-A, 2 x Thunderbolt 4 (hỗ trợ USB Power Delivery, DisplayPort 1.4), HDMI, Jack tai nghe 3.5 mm","Có màn hình cảm ứng, Có đèn bàn phím",2022
121,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,16090000,19790000,0.19,hp,data/raw_htmls/tgdd/hp_3.html,normal,"i5, 1240P, 1.7GHz",12,SSD NVMe PCIe,512,8,1,15.6,1920 x 1080,16:9,60,integrated,Intel Iris Xe,1.72,"HDMI, USB Type-C, 2 x USB 3.2, Jack tai nghe 3.5 mm",Vỏ nhựa - chiếu nghỉ tay bằng kim loại,2022
123,Laptop HP Elitebook X360 1040 G9 i7 1255U/16GB/512GB/Touch/Pen/Win11 Pro (6Z982PA),https://www.thegioididong.com/laptop/hp-elitebook-x360-1040-g9-i7-6z982pa,38190000,49990000,0.24,hp,data/raw_htmls/tgdd/hp_31.html,normal,"i7, 1255U, 1.7GHz",12,SSD,512,16,1,14.0,1920 x 1200,16:10,60,integrated,Intel Iris Xe,1.35,"2 x Thunderbolt 4 with USB-C (USB Power Delivery, DisplayPort 1.4), HDMI, 2x SuperSpeed USB A, Jack tai nghe 3.5 mm","Có màn hình cảm ứng, Có đèn bàn phím",2022
124,Laptop HP Gaming VICTUS 16 s0077AX R7 7840HS/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N6PA),https://www.thegioididong.com/laptop/hp-gaming-victus-16-s0077ax-r7-8c5n6pa,26890000,31690000,0.15,hp,data/raw_htmls/tgdd/hp_32.html,normal,Ryzen 7 7840HS,7,SSD,512,16,2,16.1,1920 x 1080,16:9,144,dedicated,Nvidia RTX 3050,2.34,"USB Type-C, HDMI, LAN (RJ45), USB 3.2, Jack tai nghe 3.5 mm",Đèn bàn phím,2023
